bundle ID,intent
0,different style of Top
1,swimsuit
2,Lingerie and sexy accessories
3,Leggings with different styles
4,different style of bracelet
5,different style of watches
6,All 3 are under shoes category 
7,Cinderella Child Costume
8,Rings
9,different style of jeans
10,different style of bags
11,Necklace
12,Girls pant &Shirts
13,for babies wear
14,pajama set
15,fashion
16,Winter caps with different colors
17,womens rings in different styles
18,womens jewelery
19,Ring
20,Bangle/bracelet
21,Men's Jewelry
22,Necklace with different style
23,boat neck sleeve blouse and long sleeve stretch blouse 
24,the hunger game and Men black necklace and clothing fire pin prop 
25,jewelry
26,boot
27,men's shoe
28,super
29,Women's footwear
30,Pumps
31,Sports
32,Workout outfit
33,Possible night out party wear
34,Jewelry 
35,Earings
36,Rings
37,"ring,earing,chain related to women"
38,women sneakers and boots
39,"1,3,4,5,6 are relavant"
40,"Women's outfit to keep warm with fleece leggings, 2 different option of hooded vest or a puffer jackethooded"
41,WOMEN SLEEVE AND SLEEVELESS DRESS
42,Shirt
43,SLIPPER
44,Earrings and pendants set
45,women's sandals
46,Bikini items 
47,underwear
48,different style of bags
49,different style of boot
50,various costume jewellery items
51,Baby dress
52,for the own purpose these product was want
53,Boot
54,Gloves
55,Comfortsoft Cotton Stretch and Women's Plus Size Faux Shearling Long CoatLow Rise Brief Panty
56,Item 2 and 4 are Same products
57,shirt
58,WOMENS T-SHIRT
59,WOMENS DRESS
60,Long line Bra
61,different style of shoes
62,Flip flops 
63,same style sandal different colour
64,Women socks
65,tights/leggings
66,different style of socks
67,girl shoes
68,Crocs for kids
69,Belts
70,boots
71,Women's Boots
72,woomen boot
73,for packing
74,cold weather gloves 
75,ring
76,Winter warm up 
77,women's shirt and blouse
78,Women's shirts with different styles
79,Different style of shoes
80,winter wear
81,champion intent
82,women's boots
83,animal prints
84,4
85,womens dresses
86,womens accessories
87,Men's Pant
88,party
89,WOMEN'S TOPS
90,different style of watches
91,different style of shoes
92,womens rain boot
93,women's leg warmer
94,women's boots
95,Leggins
96,Women's bra
97,jewelry set
98,Winter clothing and wear
99,"Shemagh Military Tactical Desert Scarf, Men's Principle Belt and Gold Grill T-Shirt"
100,Women's pants and top
101,Men's pullover and shirt
102,baby dress
103,bags
104,high heeled shoes
105,fashion jewelry
106,accesories/jewelry
107,Women's clothing and accessories
108,Womens tops different styles
109,good quality
110,WOMEN BOOTES
111,wedge sandal
112,earrings with different style
113,rings with different style
114,gold  earing
115,New clothing 
116,Dressy Shoes
117,Comfortable Flats
118,Edgy Outfit
119,Jewelry
120,Watches
121,Charms
122,Different Face Mask
123,Nursing bras
124,nursing bra
125,kids underwear
126,the are all clothes that can be bundled 
127,Bra with different styles
128,Baby boys T-Shirts
129,different model 
130,owls animal crochet knit 
131,"1,8  different model "
132,Women's shoes
133,different style of top
134,Sunglasses with different colors and style
135,Shoes and Socks
136,Travel
137,like a clothing
138,t shirts with different styles
139,Women's top
140,Men's T-Shirt
141,handbag
142,Watches
143,men's watch
144,women's accessories
145,different style of jeans
146,Womens footwear
147,Partywear/Eveningwear outfit bundle
148,Searching for child's Halloween costume
149,different style of dress
150,different style of skirt
151,Rainbow 
152,different style of warmers
153,kid clothes
154,Cosplay within a certain theme
155,Women's swimwear different  models
156,bucket hats
157,Shoes with different styles and designs
158,shoes
159,boot
160,Women's dress
161,attractive
162,good quality
163,ITEM 2 & 5 ARE RELEVANT
164,Bra styles
165,quality
166,Bra with different styles
167,Womens clothes
168,WOMENS WATCH
169,ITEM 5 AND 6 ALTERNATIVE PRODUCTS 
170,women jewelry with different style
171,Warm clothing accessories 
172,Baby pajamas size 6M-5T
173,leveret footed 
174,Different types of Earrings.
175,BOYS EAR PLUGS
176,Boys swimming attire
177,Women’s business attire
178,Surf Swim
179,"Rib Cuff"" Bike Shorts and Front Cargo Shorts"
180,Boys products
181,different style of briefs
182,"coat, jean and shoes"
183,Accessories
184,mens clothing
185,Men's Smooth Underwear Stretch Boxer Briefs
186,open crotch
187,leg avenue
188,shoe and socks
189,good quality
190,Bikini
191,Love Ring in Script Sterling Silver 925 and Fashion Plaza 18k White Gold Plated Use Austrian Multi-Crystal Spark Ring R51 and Bling Jewelry Sterling Silver Alexandrite Color CZ June Birthstone Eternity Ring
192,Ankin Hot New Sexy Women's Tassel Padded Bandeau Fringe Bikini 2pcs Set Swimwear Swimsuit Bathing Suit and Women's Active Basic Plain Basic Camisole with Spaghetti Straps and Strapless Padded Twisted Tie Side Bikini Swimsuit and 1016 Woodland Camouflage Womens Short Mini Skirt Large and Zenana Women's Outfitters Cotton Spandex Jersey Crop Legging
193,Sportswear
194,Necklaces with different charms
195,shorts and sandal
196,different style of sandal
197,"ITEMS 1,2, 3 ARE MOSTLY RELEVANT."
198,womens pump
199,different styles of bags
200,Different types of necklaces
201,Hoop earrings and watch.
202,byer clothing
203,womens tops with different style
204,different style of belt
205,different style of watches
206,different style of bras
207,different style of plug
208,Women footwear
209,costume
210,Jewelry/Necklets
211,necklace
212,different style of bra
213,different style of Brief
214,alternative products
215,going for a walk
216,WOMENS SHOES
217,Cosplay within a certain theme
218,different style of shirts
219,women clothes
220,women clothes
221,Shoes
222,t shirt
223,Men's T-shirt and pants
224,different style of rings
225,Earrings
226,Barbell items
227,Jewelry set
228,Men's tee
229,Women's shoe
230,handbags
231,sandals
232,they look like items you would take on holiday with you
233,Jewellery collection
234,Different types of bag
235,Wristwatch/Earing with different styles
236,HONEY BEE COSTUME
237,child's costume
238,men's slipper
239,womens inner 
240,different style of shaper
241,fashion clothes
242,socks
243,boot 
244,M en's products
245,Exercise pants for yoga
246,Jewels and cleaner for them
247,"These are all products as accessories. Jewelry cleaner goes here too because it is to clean the accessory,"
248,socks
249,womens sandal
250,Toddler set 
251,Lavable Friends Cotton  Tights and socks
252,Diaper kids
253,Different bra styles
254,Different styles of leggings
255,Different styles and types of bags
256,Men's accessories
257,Midi dress and maxi dress combo ( color blue and red)
258,women heels
259,earrings
260,women's pant
261,selling shoes
262,Both are sandals
263,different options for purchases
264,Penny Loves Kenny Women's Ferne Boot
265,They all again are clothes for one person.
266,Short Jean
267,Cosplay within a certain theme
268,jewelry set
269,Men t shirts
270,Accessories 
271,Allegra K Women's dress
272,WOMENS T-SHIRT
273,PENDANT NECKLACE
274,Women's Jacket and hat
275,jewelry set
276,necklace collection
277,No image & Ring
278,key scain
279,Women's Nursing Bra
280,Variations of similar items
281,Baby clothes
282,Jean and polo shirts
283,tops
284,complementary products
285,foot wear
286,gloves with different brands
287,gloves with diferents styles
288,womens clothes
289,different types of rings
290,Anklet with different color
291,ceremony dresses
292,pump 
293,women's foot wears
294,Women's accessories
295,Fits Glass Lockets different style
296,Gift items and chain dollars
297,chain
298,Princess jewelry
299,Toddler clothes
300,Thomas tank
301,Children products
302,Costume play sets
303,TIES
304,Cookery dress
305,Wrist Watch
306,Fathers Day Gifts
307,various men's jewelry
308,Stainless Steel Ring
309,purchasing watches is the user intent.
310,Different style of women stockings
311,Women's Wet Look Thigh
312,To look sexy/date
313,Fashion
314,Earnings 
315,Lip rings and necklace
316,jewelry set
317,different style of shoes
318,Necklace
319,Jeans
320,different style of shoes
321,T-Shirt
322,Watch
323,WATCH
324,they are related to the same user intent
325,T-shirt
326,Shoes
327,All women's clothing
328,Beach wear
329,Dress
330,Shoe & Socks
331,Womens tops
332,To be fashionable
333,womens shoes
334,women shoes
335,fashion 
336,Watches and watch storage
337,Women's apparel
338,kid clothes
339,1.7 alternative is same
340,Dresses
341,Running wear
342,Girls items 
343,women's bra
344,3
345,Sunglasses different style
346,Kids water shoes
347,"Sterling Silver Anchor,Sterling Silver"
348,Bijoux
349,Women's bracelets
350,Women's bags (different styles)
351,jewelry set
352,different style of top
353,different style of watches
354,Men's Mocassin
355,they are all beach vacation wear
356,swim trunks
357,Customer wants some jewellery and this combination works
358,jacket 
359,Women's Lemon Flat and Women's Owen Boot
360,mans sports watch 
361,outerwear 
362,footwear 
363,good quality
364,Women necklace and rings
365,high quality
366,7
367,Cuban Heel Men's Footwear
368,Women accessories 
369,maternity clothes
370,nursing bra
371,different style of dress
372,skirt and pump
373,different style of bracelets
374,different style of watches
375,wirst watch for male different style
376,different types of kids outfits
377,costume
378,different style of watches
379,alternative products
380,Most fit
381,Easily Interchangeable Replacement Military Watch Strap / Band - Fits All Watches
382,Mother and child
383,Women's Business Casual Clothes
384,THE WIZARD OF OZ COSTUMES ELEMENTS
385,Children's clothing
386,Women's accessories
387,types of shoes for women
388,WOMENS SHOE
389,Women's dresses
390,"Professional attire including top, bottoms, shoes and professional bag."
391,women tops
392,Women's sports bra
393,reasonble bundles
394,WOMENS DRESS
395,Men's pants
396,Men's shirts
397,kid clothes
398,different style of dress
399,kid clothes
400,pants
401,T-shirt
402,Men's garment and accessories
403,Women's bra
404,baby headbands
405,This is clearly a set of items to buy for a baby shower. Complementarity & style/functionality.
406,different tops for men
407,different style pants for men
408,Mens outfit
409,Womens accessories
410,mens T.shirt 
411,complementary - item 1 and 2
412,women swimsuit
413,WOMEN DRESS
414,it is nice wearing them together
415,t-shirt
416,travel
417,toys
418,"Items 2 and 10 are complementary products (trainning clothes)
Items 5 and 7 are complementary products (travel)
Item1:Warner's Women's Unbelievable Unwire Push Up
Item2: Jockey Ladies Rib Knit Two Pocket Pant GJ2211T
Item3:  Warner's Women's Unbelievable Unwire
Item4: Jockey Scrubs Ladies Snap Front Scrub Top with Notched Neckline
Item5: Maidenform Women's Pure Genius T-Back Bra
Items 7 and 8 are alternative products"
419,Baby clothes
420,footie for babies
421,My partner like that so i like it
422,product bought to wear at home
423,casual outing dress
424,Women's accessories 
425,T-SHIRT
426,long sleeve
427,jewelry
428,man watch
429,jewelry
430,men's pant
431,Men's accessories
432,jewelry set
433,jewelry and accessories
434,different style of watches
435,Cosplay within a certain theme
436,T shirt for men
437,socks and shoe
438,men's jewelry
439,marc ecko cut& sew men
440,Baby wear . All items
441,Baby pajamas
442,kid clothes
443,Men's Socks (different style)
444,Alternative women boots
445,Different style boots
446,different style of Earrings
447,watches
448,Sunglasses
449,accessories
450,different style of T-shirt
451,different style of T-shirt
452,same colour and the clothing but quality and the branded
453,Jean
454,kid pants
455,different style of jewelry
456,womens panty with alternate product
457,Bra
458,womens dresses
459,"Items5, 7,8 Professional Dresses
Items 4,6,7 Casual Dresses"
460,different style of shirt
461,jewelry set
462,jewelry set
463,jewelry set
464,Bracelet and charms for it
465,T-shirt
466,Disney themed clothing
467,"Since those days, Google search has become a sophisticated product with a ... into understanding the intent behind a query, and this is reflected by the types of ... a specific action, such as purchasing a specific product or booking a service."
468,Shoes
469,"top, shirt and shoes"
470,dress and sandal
471,Different design scarves
472,Jewelry
473,Women's V-neck t-shirts
474,Women's bra
475,ladies deep v white
476,bra
477,Women's top
478,scarves
479,May ve a good deal
480,t-shirts with different designs
481,scarves of different styles
482,men's clothes
483,women's tops
484,baby clothing
485,ladies watches
486,Has  longevity
487,different style of shoes
488,Sandal
489,hair band
490,frock
491,cap
492,WOMENS RING
493,"Those are rings, alternative products"
494,jewelry set
495,two different dress
496,match for dress n shoes
497,T-shirt
498,men t-shirts 
499,jack sparrow costume
500,Pirate Costume
501,top and pants
502,shirt and pants
503,Kids pjs
504,pajamas
505,casual clothes
506,Womens wear
507,Different types of purse
508,different style of necklace
509,different style of  rings
510,different style of dress
511,Swimwear
512,Baby girl swimwear
513,Roxy girls clothing
514,Walking shoes
515,ornaments
516,men s socks
517,Intimate Sleepwear
518,men s boxer and Tshirt
519,Men’s Tops
520,pendent and chain
521,Cool Accessories for Girls
522,Lady's handbag
523,different style of shorts
524,different style of NeckTie
525,watch accessories
526,European Charm Bracelet
527,different style of belts
528,different style of socks
529,men clothes
530,top platform high wedge
531,different kinds of skirts
532,pant
533,womens rings
534,T-Shirt
535, Pajama Pant
536,Woman's Clothing
537,Type of Belt
538,Because they are related to the same user intent.
539, Boot
540,men socks
541,go traveling
542,different but similar tops
543,Scarf
544,different style of boot
545,different style of earings
546,different style of bags
547,flat sliper
548,no colour
549, Item 1 and 2 are complementary products
550,women's panties
551,complementary products
552,belt
553,"Item 1,Item 2"
554,casual women wear and accessories
555,Girls top in different styles
556,Neck Warmer
557,Shoes
558,Prepare winter clothes for their kids
559,different style of earings
560, Quality of lasting or remaining unchanged indefinitely
561,Women accessories
562,Libian dresses
563,Different styles of women's running shoes
564,Girl's Undergarments
565,different style of shorts
566,Steampunk costume bundle
567,Sanuk slip on shoes
568,Women’s jacket
569,car
570,very useful products because of the need of customer they purchased this products
571,shoes and flip flop sandal
572,Hair band with different color
573,different style of sandal
574,different style of sandal
575,tops
576,Women's silicone band watches
577,Fashion
578,WOMEN'S TOP AND BOTTOM
579,WOMENS T-SHIRT
580,"These are all male items, shoes and clothing "
581,Alternative shoes for men 
582,Women's Sandles
583,Men pant and brief
584,prize and quality
585,Chain
586,Pendants and Necklaces
587,"Our specialists wrote the most comprehensive User intent definition, just for ... them, trying to understand the context and the intention behind those words. ... the search query shows the user's intention to purchase a product"
588,MENS SHOE
589,MEN'S ASICS RUNNING SHOES
590,SANDALS
591,similar sneakers with different styles
592,essential uses
593,Need Shirts And Jeans 
594,Women's clothing
595,Boy's t-shirts
596,stretch jean
597,MENS T-SHIRT
598,ladies sandals
599,BOTTOMS
600,kids dress 
601,t-shirts
602, toddler footless and shoe
603,Angel Wig and blue cap
604,Skirt
605,jewellery 
606,Lecklace different styles
607,awareness of breast cancer
608,different style of bra
609,different style of top
610,women's top
611,Women's T-Shirts
612,Items could all be worn on vacation to a sunny country
613,WOMENS T-SHIRT
614,"1,2,3,5 are relavant"
615,Bijoux
616,earrings diffrent style
617,different style of shoes
618,Cold Weather accessories
619,hats with different styles
620,Items to keep warm. 
621,kid clothes
622,skirt and sandal
623,baby suits
624,Baby 3 pk body suit and pant
625,kid clothes
626,women slipper
627,women's Sandal
628,Long/Maxi dress
629,Tops
630,women cloth
631,tshirt and compression top 
632,Blue jewelry 
633,"1,3  women dress are same"
634,Cosplay within a certain theme
635,different style of shirt
636,dress and pump
637,womens mossy oak
638,WOMENS BOOTOM
639,Women's Tight
640,different kinds of shoes
641,Bijoux
642,different style of dress
643,MEN'S SHOES
644,trunk
645,Boys watch
646,womens pajama sets
647,Women's Tank
648,Women's underwear products.
649,Women's Watch
650,Watches 
651,Sleeve 
652,Women's Shirt
653,jeans and belt
654,bracelet
655,jewelry
656,shoes
657,womens dress iteam 
658,high quality
659,T-shirt
660,Sport t-shirts family
661,different style of sandal
662,watches
663,"NEW ACCESSORIES TO MATCH SHIRT
"
664,Jewellery
665,sandals and t-shirt
666,"Items 3 and 5 are complementary products
Items 2 and 4 are alternative products"
667,Ninja shoes
668,women necklace
669,nice
670,Dresses
671,Skirt and long sleeve shirt
672,best clothing
673,different style of thong
674,family use
675,Women footwear
676,t shirt
677,men's clothing
678,Accessories
679,different style of sneaker
680,Shoes
681,women's sandals
682,Different style pants
683,Jewelry - anklets
684,Plus Size  Lounger
685,WOMENS CLOTHING
686,Women's plus size lounger
687,These are all for Cosplay 
688,Dress with different style
689,WOMENS DRESS
690,Women's Tops & Cardigans
691,bra
692,tank
693,complementary products
694,different style of watches
695,color and model
696,womens tops
697,Boots and fabric protector
698,girls pants 
699,girls underwear
700,girls clothing
701,watch
702,wallet
703,Women's Shoes
704,Looking for pop culture punk look
705,Pendants
706,different style of watches
707,T-Shirt
708,Everything can be used by boys
709,WOMENS DRESS
710,Jewellery 
711,Summer clothing
712,women t-shirts and tops
713,Apparel 
714,watch
715,Looking for premium brand accessories
716,Boot
717,Watches
718,watch
719,women's heels
720,pants 
721,womens bottoms
722,MENS HAT CAP
723,chain
724,jewelry set
725,men sneakers
726,men watches
727,leggings
728,seems like clothes are are all in the sexural catogry 
729,Men's Top
730,Women's T-Shirt 
731,t shirt
732,kid clothes
733,Similar product and common user
734,Watches
735,Shoulder Handbag
736,different style of rings
737,Leg Wear
738,good quality
739,this bundles are alternative products. and also it is an very useful product
740,Women's rings in different styles 
741,Pendants
742,Women's earrings in different styles
743,WOMENS RING
744,wrist watch safety number locker
745,Travel baggage and securities
746,Women bikinis
747,Neck Long Batwing Sleeve and No-Show Striped Socks
748,Shoes and socks
749,different kinds of panty
750,mens tshirts with different styles
751,mens accessories
752,MENS WATCH
753,Tote with different style
754,workwear scrubs and work clogs
755,MENS SHOES
756,men's shoes
757,men's t-shirt
758,different polo
759,MENS TOP AND BOTTOM
760,good quality
761,women's swim suit and invisible bra
762,different style of sandal
763,daily uses
764,Women’s Clothing 
765,nice produced 
766,T shirts
767,"Item4: The Mountain Dragonfly Dreamcatcher Adult T-shirt
"
768,high quality
769,earrings
770,tongue ring
771,Woman's Gown 
772,Frock
773,Basketball Jewelry
774,Baby Cotton Bodysuit
775,different types of tank tops
776,"Items # 1, 8 and 10 are alternative product as well as items #6 and 7.  Item # 2 is irrelevant. Items #9, 10, and 3 are complementary with item # 4 or 5 being complementary as well."
777,different types of hot pants
778,women's sandals
779,Women's bra
780,fashion clothes
781,man boots 
782,Waist belly chain
783,lingerie
784,womens corset
785,womens heels 
786,"Item 1 and 6 - Ladies Footwear
Item 2,3,4 and 5 - Corsets"
787,different style of Sunglasses
788,Hoodie with Different Style
789,"usually friend this products, good quality "
790,Socks and Shoes
791,kids shoes
792,"pants, belt and boot"
793,different watches
794,different style of socks
795,different style of necklace
796,Kids Clothes and Shoes
797,womens clothing
798,Juniors
799,women's flip flop
800,women's boot
801,different style of boot
802,Chic Sunglasses 
803,Hand gloves of different style
804,womens knit winter accessories
805,Calvin Klein Mens
806,Mens Underwear with different styles
807,Men's Three-Pack Boxer Brief
808,regular based products
809,women shoes
810,The users intent is to buy clothes for a women or herself.
811,Shoes for woman
812,Dress with different color and style
813,engagement ring
814,wedding rings
815,women's pants
816,yoga
817,MENS JACKET
818,travel bottle
819,jewelry
820,Man shoes
821,woman flip flop
822,it is useful for stylish
823,women's shorts
824,women's sandals
825,man and women flip flop
826,MENS TOK TOK DESIGN
827,suit and tie
828,Baby Boy Formal
829,men T-shirt
830,MENS T SHRIT
831,best quality men's item
832,Designed dresses
833,Girl's clothing
834,All necklaces 
835,different style of watches
836,different style of wallet
837,baby infant alternatives products
838,necklace
839,ring
840,Fine jewelry
841,High heel fancy shoes.
842,womens sandal
843,Platform Pump
844,Jewellery
845,shoulder and head wrap
846,kid clothes
847,different style of necklace
848,Shoe and slippers 
849,Tricot and image error
850,Kids clothing 
851,Ladies blouse/shirt
852,Frocks
853,women dress with different styles
854,Jewelry
855,look likes very Good
856,MENS WATCH
857,calvin klein mans inner
858,Jewels
859,ring
860,it is an useful product 
861,INFANT GIRLS TOP AND PANT
862,men's shirts.
863,Men t-shirt guitar
864,Jewelry
865,personal use
866,different style of pendant
867,different style of watches
868,kid clothes
869,Wallet
870,shoe and jean pant
871,Women's watch
872,"matching jacket ,jeans,shoes and belt"
873,the items are alternative products: men's pant
874,Pants
875,Women's shoes
876,Women clothing and Costumes
877,crazy party outfit
878,skirts
879,pump & boot
880,same ladies produced 
881,HelloKitty wallet
882,"Women's wear. Item 1,2 & 3 are alternate products. Item 4,5,6 are alternate products"
883,WOMENS T-SHIRT
884,Girls's  pajama
885,Different types of tops
886,high brand
887,The user is more like sport person looks like a gym staff all pit together 
888,Shoes with different brands and purpose
889,Dress with different style and color
890,Nike shoes with different style and color
891,Different types of sandals
892,High heels with different style
893,elegant
894,Women's fall fashion bundle
895,Women leggings with different styles
896,Cardigan
897,Different beauty things 
898,Womens shirts and sweaters
899,Short Sleeve top with different style
900,to buy spirng/summer clothes
901,Swimsuits and bikinis
902,Boot
903,Shoes
904,earrings with different style
905,Jewelry earings 
906,watches
907,Watch with different style 
908,"Items 2, 3 and 4 are complimentary items.
Item 1 is an alternative item."
909,Women's Garments
910,different style of socks
911,womens elbow gloves 
912, match in the clothing and the good quality on the branded
913,Gold Earrings and Chains 
914,Women's maxi skirts
915,different womens top
916,tshirt
917,WOMENS RING
918,Ring and gift pouch
919,Different jeans
920,different style of pendant
921,WOMENS BOOTS
922,alternative products
923,women inners
924,Men T shirts
925,kids night cloth
926,"all kid related products, piyamas and costumes"
927,bandana/hat
928,Long sleeve blouse tops
929,Bikini (different styles)
930,Women clothing
931,hoop earrngs woth different style
932,Ear rings 
933,sling cross body purse
934,belts and belt accessories
935,shoes and socks
936,foot wear 
937,women'socks
938,To buy shoes collection.
939,shoes 
940,men's wear shirt
941, Quality of lasting or remaining unchanged indefinitely
942,Women's Apparel and Accessories
943,Lingerie Set
944,Children clothing
945,womens sandals
946,women's leggins
947,Legging
948,Socks
949,Platform Pump and Handbag 
950,"1,3 same model"
951,Complimentary 
952,Doublju shirts
953,not matching the product and the branded
954,women handbag
955,women accesories 
956,dress
957,earrings
958,ITEM 1 & 3 ARE RELEVANT
959,travel bags
960,Disguise
961,Clothing for cold
962,WOMENS DRESS
963,Jewelry 
964,Leggings and shirt
965,women's capri legging
966,different style of jacket
967,Sun glasses
968,Lenses
969,Sunglasses
970,harring with different style 
971,WOMENS BRACELET
